epoch,auc,learning_rate,loss,recall,val_auc,val_loss,val_recall
0,0.8236038684844971,0.0010000000474974513,0.08272948116064072,0.8415584564208984,0.9657676219940186,0.024557899683713913,1.0
1,0.8931979537010193,0.0010000000474974513,0.057695891708135605,0.800000011920929,0.9621369242668152,0.01454369816929102,0.75
2,0.9297264218330383,0.0010000000474974513,0.04608413204550743,0.7766233682632446,0.9465768337249756,0.01953202113509178,0.75
3,0.9535710215568542,0.0010000000474974513,0.03850821778178215,0.8441558480262756,0.9434647560119629,0.02072572149336338,0.75
4,0.9603015184402466,0.0010000000474974513,0.03583831340074539,0.8337662220001221,0.9177904725074768,0.020674148574471474,0.75
5,0.9664777517318726,0.0010000000474974513,0.03282870352268219,0.8571428656578064,0.9473547339439392,0.024198133498430252,0.75
6,0.9721085429191589,0.0010000000474974513,0.029875706881284714,0.8779220581054688,0.9240145087242126,0.021642709150910378,0.75
7,0.9765019416809082,0.0010000000474974513,0.027099352329969406,0.8935064673423767,0.8721473217010498,0.02026011422276497,0.75
8,0.9811230301856995,0.0005000000237487257,0.02413647621870041,0.8909090757369995,0.8721473217010498,0.0219890084117651,0.75
9,0.9803915619850159,0.0005000000237487257,0.02413114905357361,0.916883111000061,0.8926348686218262,0.023363010957837105,0.75
10,0.981691300868988,0.0005000000237487257,0.022889049723744392,0.916883111000061,0.8814833760261536,0.020952880382537842,0.75
11,0.9825594425201416,0.0005000000237487257,0.022185228765010834,0.9376623630523682,0.8991182446479797,0.022011762484908104,0.75
12,0.9833337664604187,0.0005000000237487257,0.02102346159517765,0.9376623630523682,0.9061203598976135,0.02107355371117592,0.75
13,0.986364483833313,0.0005000000237487257,0.018425490707159042,0.9766233563423157,0.875,0.02120109088718891,0.75
14,0.9858042597770691,0.0005000000237487257,0.018499935045838356,0.9558441638946533,0.853215754032135,0.02050357311964035,0.75
15,0.9855570793151855,0.0002500000118743628,0.01824061945080757,0.9532467722892761,0.870331883430481,0.021608024835586548,0.75
